一	一ＹＩ一
南	<南上><首上>十Ｎ
留	<卬左>刀田Ｌ
元	元ＹＮ一
敌	舌攵ＤＩ
沉	氵冖几Ｃ
请	讠月Ｑ
官	宀<官下>ＧＮ
威	戊一女Ｗ
每	母ＭＩ
况	冫口儿Ｋ
确	石用Ｑ
答	亼口Ｄ
乱	舌乚ＬＮ
陈	阝<东上>小Ｃ
宝	宀王丶Ｂ
视	礻见ＳＩ
护	扌户ＨＵ
格	木各ＧＥ
脑	月文凵Ｎ
兄	口儿ＸＧ
狂	犭王ＫＧ
淡	氵火火Ｄ
识	讠口八Ｓ
题	日<足下>页Ｔ
停	亻<亮上>丁Ｔ
司	一口Ｓ
低	亻<卬左>七Ｄ
雨	雨ＹＵ一
呼	口丿丨Ｈ
久	丶ＪＵ
未	未ＷＩ一
孩	子亥ＨＩ
卫	<节下>一ＷＩ
脚	月土卩Ｊ
除	阝亼朩Ｃ
古	古ＧＵ一
亚	亚ＹＡ一
字	宀子ＺＩ
骑	马大可Ｑ
房	户方ＦＧ
代	代ＤＩ丿
伙	亻火ＨＯ
鬼	白<见下>厶Ｇ
员	口贝ＹＮ
缓	纟爫又Ｈ
复	日夂Ｆ
六	亠八ＬＵ
黄	由八Ｈ
装	丬士<衣下>Ｚ
居	尸古ＪＵ
凌	冫土夂Ｌ
呵	口可ＨＥ
米	米ＭＩ丶
恐	工几心Ｋ
单	丷日十Ｄ
旁	<旁上>方ＰＧ
钱	钅一戈Ｑ
跑	勹巳Ｐ
布	巾ＢＵ
或	戈口一Ｈ
爷	父<节下>ＹＥ
玩	王元ＷＮ
报	扌卩又Ｂ
疑	匕矢<足下>Ｙ
术	木丶ＳＵ
睛	目月Ｊ
隐	阝心Ｙ
欢	又欠ＨＮ
续	纟十头Ｘ
章	音十ＺＧ
差	工ＣＡ
挥	扌冖车Ｈ
父	父ＦＵ丿
句	勹口ＪＵ
待	彳土寸Ｄ
九	九ＪＵ丿
派	氵<辰下>Ｐ
持	扌土寸Ｃ
类	米大ＬＩ
宇	宀于ＹＵ
丽	一冂冂Ｌ
蓝	艹<临左>皿Ｌ
佛	亻弓<齐下>Ｆ
刘	文刂ＬＵ
忽	勹<两撇>心Ｈ
怀	忄不ＨＩ
您	亻心Ｎ
怒	女又心Ｎ
掉	扌<卓上>十Ｄ
招	扌刀口Ｚ
希	乂巾Ｘ
送	<首上>大辶Ｓ
背	<北左>匕冃Ｂ
工	工ＧＧ一
甚	其乚ＳＮ
烈	歹刂灬Ｌ
卡	<卓上>下ＫＡ
细	纟田ＸＩ
掌	口手Ｚ
论	讠人匕Ｌ
密	宀心山Ｍ
运	云辶ＹＮ
退	艮辶ＴＩ
酒	氵酉ＪＵ
求	<求架>丶ＱＵ
猛	犭子皿Ｍ
另	另ＬＧ丨
射	身寸ＳＥ
集	隹木ＪＩ
首	<首上>自ＳＵ
北	<北左>匕ＢＩ
照	日刀灬Ｚ
晚	日<见下>Ｗ
赶	走干ＧＮ
守	宀寸ＳＵ
木	木ＭＵ一
散	冃攵Ｓ
穿	穴一<牙下>Ｃ
联	耳<首上>大Ｌ
铁	钅失ＴＥ
段	<段左>殳ＤＮ
练	纟<东上><拣角>Ｌ
喝	口日勹Ｈ
需	<雨头>丆<而下>Ｘ
支	十又ＺＩ
巴	巴ＢＡ乛
左	工ＺＯ
陆	阝<举下>凵Ｌ
角	用ＪＯ
书	乛<韦下>丶Ｓ
防	阝方ＦＧ
忍	刀丶心Ｒ
莫	莫ＭＯ一
群	<秉中>丿羊Ｑ
民	巳七ＭＮ
客	宀各ＫＥ
线	纟一戈Ｘ
毫	<亮上>毛ＨＯ
肯	止冃ＫＮ
展	尸<辰下>Ｚ
谢	讠身寸Ｘ
亮	<亮上>几ＬＧ
痛	疒<甬下>Ｔ
股	月殳ＧＵ
造	口辶Ｚ
妖	女丿大Ｙ
虎	虍几ＨＵ
秦	禾ＱＮ
紫	止匕小Ｚ
宫	宀口口Ｇ
激	氵白攵Ｊ
赵	走乂ＺＯ
渐	氵<车旁>斤Ｊ
震	<雨头>厂<辰内>Ｚ
注	氵主ＺＵ
禁	林示ＪＮ
吸	口及ＸＩ
取	耳又ＱＵ
梦	林夕ＭＧ
枪	木人Ｑ
程	禾口王Ｃ
叹	口又ＴＮ
江	氵工ＪＧ
简	门日Ｊ
羽	羽ＹＵ乛
友	又ＹＵ
继	纟米乚Ｊ
念	今心ＮＮ
右	口ＹＵ
萧	艹<秉中><肃下>Ｘ
热	执灬ＲＥ
份	亻八刀Ｆ
乐	<卬左>小ＬＥ
压	厂土丶Ｙ
既	<即左>旡ＪＩ
靠	口非Ｋ
香	禾日ＸＧ
恶	亚心ＥＥ
引	弓丨ＹＮ
止	止ＺＩ丨
包	勹巳ＢＯ
追	<阜上>辶ＺＩ
仅	亻又ＪＮ
寒	宀<冓上><冬下>Ｈ
雅	一<牙下>隹Ｙ
争	<秉中>亅Ｚ
愿	厂白心Ｙ
超	走刀口Ｃ
狠	犭艮ＨＮ
厉	厂丆Ｌ
式	弋工ＳＩ
波	氵皮ＢＯ
刺	木冂刂Ｃ
号	口丂ＨＯ
态	大丶心Ｔ
存	<在角>子ＣＮ
游	氵<旗角>子Ｙ
台	厶口ＴＩ
跳	<兆左><兆右>Ｔ
狼	犭丶艮Ｌ
属	尸丿冂Ｓ
妹	女未ＭＩ
炼	火<东上><拣角>Ｌ
灭	一火ＭＥ
英	艹央ＹＧ
醒	酉日Ｘ
举	<应下>八<举下>Ｊ
嘿	口黑ＨＩ
境	土音儿Ｊ
胜	月丿Ｓ
诉	讠斤丶Ｓ
抱	扌勹巳Ｂ
毕	比十ＢＩ
务	夂力ＷＵ
甲	甲ＪＡ丨
齐	文<齐下>ＱＩ
拍	扌白ＰＩ
唐	广<秉中>口Ｔ
君	<秉中>丿口Ｊ
楼	木米女Ｌ
险	阝亼<应下>Ｘ
院	阝宀元Ｙ
建	<秉中><举下>廴Ｊ
观	又见ＧＮ
柔	<矛下>木Ｒ
逃	<兆左><兆右>辶Ｔ
置	罒十<具上>Ｚ
娘	女丶艮Ｎ
担	扌日一Ｄ
殿	尸殳Ｄ
阴	阝月ＹＮ
呆	口木ＤＩ
层	尸云ＣＧ
试	讠弋工Ｓ
约	纟勹丶Ｙ
凡	几丶ＦＮ
眉	<声下>目ＭＩ
弹	弓丷十Ｄ
救	<求架>丶攵Ｊ
银	钅艮ＹＮ
统	纟<充上>儿Ｔ
否	不口ＦＵ
索	十冖小Ｓ
抓	扌爪ＺＡ
府	广亻寸Ｆ
调	讠<周框>土Ｄ
曾	丷<横日>日Ｚ
魂	云白<见下>Ｈ
基	其土ＪＩ
顶	丁页ＤＧ
峰	山夂丰Ｆ
苏	艹力八Ｓ
图	囗夂<冬下>Ｔ
松	木八厶Ｓ
议	讠丶乂Ｙ
料	米斗ＬＯ
顾	厂页Ｇ
严	亚丿ＹＮ
业	业ＹＥ丨
恩	囗大心Ｅ
礼	礻乚ＬＩ
耳	耳ＥＲ一
选	儿辶Ｘ
余	亼朩ＹＵ
败	贝攵ＢＩ
区	匚乂ＱＵ
顺	川页ＳＮ
皮	皮ＰＩ乛
沙	氵少ＳＡ
瞬	目<爱上><舛右>Ｓ
树	木又寸Ｓ
秘	禾心丿Ｍ
商	<商外><谷下>ＳＧ
组	纟且ＺＵ
块	土夬ＫＩ
汉	氵又ＨＮ
充	<充上>儿ＣＧ
贵	<贵上>贝ＧＩ
迷	米辶ＭＩ
混	氵日比Ｈ
纷	纟八刀Ｆ
示	示ＳＩ一
伸	亻日丨Ｓ
娜	女<那左>阝Ｎ
助	且力ＺＵ
呀	口一<牙下>Ｙ
封	圭寸ＦＧ
排	扌非ＰＩ
期	其月ＱＩ
肉	内人ＲＵ
船	舟几口Ｃ
座	广从土Ｚ
义	丶乂ＹＩ
舰	舟见ＪＮ
闻	门耳ＷＮ
升	丿廾ＳＧ
室	宀至ＳＩ
妈	女马ＭＡ
亡	亡ＷＧ丶
付	亻寸ＦＵ
控	扌穴工Ｋ
警	艹攵言Ｊ
负	贝ＦＵ
推	扌隹ＴＩ
扬	扌<乃上><两撇>Ｙ
模	木莫ＭＯ
芒	艹亡ＭＧ
凤	<风上>又ＦＧ
虚	虍业ＸＵ
默	黑大丶Ｍ
土	土ＴＵ一
技	扌十又Ｊ
费	弓<齐下>贝Ｆ
温	氵日皿Ｗ
市	亠巾ＳＩ
麻	广林ＭＡ
初	衤刀ＣＵ
考	耂丂ＫＯ
拥	扌用ＹＧ
究	穴九ＪＵ
握	扌尸至Ｗ
资	冫欠贝Ｚ
普	<首上>业日Ｐ
翻	丿田羽Ｆ
察	宀<祭上>示Ｃ
独	犭虫ＤＵ
幸	土<首上>十Ｘ
舞	夕<舛右>Ｗ
称	禾小Ｃ
玄	玄ＸＮ丶
母	母ＭＵ乛
暴	日氺Ｂ
按	扌宀女Ａ
孙	子小ＳＮ
睡	目千<垂下>Ｓ
改	己攵ＧＩ
换	扌大Ｈ
素	幺小Ｓ
较	<车旁>亠父Ｊ
具	<具上>八ＪＵ
箭	<首上><前下>Ｊ
品	口吅ＰＮ
忘	亡心ＷＧ
状	丬大丶Ｚ
堂	口土Ｔ
副	畐刂ＦＵ
承	乛水三Ｃ
野	里<予下>Ｙ
锋	钅夂丰Ｆ
洞	氵冂一Ｄ
遇	甲冂辶Ｙ
查	木日一Ｃ
洛	氵各ＬＯ
局	尸口Ｊ
赛	宀<冓上>贝Ｓ
划	戈刂ＨＡ
权	木又ＱＮ
藏	艹戊丆Ｃ
味	口未ＷＩ
丹	<周框>亠ＤＮ
故	古攵ＧＵ
钟	钅中ＺＧ
坏	土不ＨＩ
仍	亻乃ＲＧ
宗	宀示ＺＧ
弱	弓冫弓Ｒ
弄	王廾ＮＧ
脱	月丷儿Ｔ
菲	艹非ＦＩ
胸	月勹乂Ｘ
哼	口<享上>亅Ｈ
药	艹纟勹Ｙ
历	厂力ＬＩ
徐	彳亼朩Ｘ
拳	手ＱＮ
爆	火日氺Ｂ
杰	木灬ＪＥ
谈	讠火火Ｔ
须	彡页ＸＵ
坚	<临左>又土Ｊ
奥	<向框>米大Ａ
仿	亻方ＦＧ
据	扌尸古Ｊ
偷	亻亼<前下>Ｔ
施	<旗角>也ＳＩ
产	立丿ＣＮ
营	艹冖口Ｙ
骨	骨ＧＵ丨
晶	日日日Ｊ
透	禾乃辶Ｔ
尊	酋寸ＺＮ
短	矢一<首上>Ｄ
抬	扌厶口Ｔ
政	一止攵Ｚ
烦	火页ＦＮ
河	氵可ＨＥ
牙	一<牙下>ＹＡ
维	纟隹ＷＩ
证	讠一止Ｚ
卷	ＪＮ
幽	山幺幺Ｙ
草	艹日十Ｃ
森	木林ＳＮ
吴	口一大Ｗ
摆	扌罒厶Ｂ
蒙	艹冖<豕下>Ｍ
危	厂Ｗ
毒	母ＤＵ
投	扌殳ＴＵ
熟	<享上>九灬Ｓ
飘	覀示风Ｐ
导	巳寸ＤＯ
朋	月月ＰＧ
质	十贝Ｚ
释	丿米<举下>Ｓ
喊	口戊一Ｈ
胡	古月ＨＵ
参	厶大彡Ｃ
休	亻木ＸＵ
劲	<经角>工力Ｊ
景	日<享上>小Ｊ
挡	扌彐Ｄ
印	<印左>卩ＹＮ
惜	忄日Ｘ
枫	木风ＦＧ
幻	幺ＨＮ
欲	八<谷下>欠Ｙ
摸	扌莫ＭＯ
烟	火囗大Ｙ
致	至攵ＺＩ
州	州ＺＵ丶
冥	冖日八Ｍ
尼	尸匕ＮＩ
抗	扌亠几Ｋ
妙	女少ＭＯ
翼	羽田八Ｙ
秋	禾火ＱＵ
凝	冫<足下>Ｎ
寻	彐寸ＸＮ
盘	舟皿ＰＮ
永	丶<永下>ＹＧ
板	木又Ｂ
智	矢口日Ｚ
哦	口手戈Ｏ
责	贝ＺＥ
尸	尸ＳＩ乛
傲	亻敖ＡＯ
柳	木<卯左>卩Ｌ
御	彳卩Ｙ
临	<临左><半竹><横日>Ｌ
浪	氵丶艮Ｌ
辈	非车ＢＩ
娇	女丿<齐下>Ｊ
恨	忄艮ＨＮ
吓	口下ＸＡ
价	亻人<齐下>Ｊ
硬	石一乂Ｙ
探	扌木Ｔ
际	阝示ＪＩ
横	木八Ｈ
标	木示ＢＯ
纳	纟内ＮＡ
欧	匚乂欠Ｏ
宁	宀丁ＮＧ
墙	土十囗Ｑ
田	田ＴＮ丨
习	习ＸＩ乛
肩	户冃ＪＮ
戏	又戈ＸＩ
奈	大示ＮＩ
设	讠殳ＳＥ
效	亠父攵Ｘ
福	礻畐ＦＵ
袋	代亠<衣下>Ｄ
移	禾夕夕Ｙ
型	开刂土Ｘ
疯	疒风ＦＧ
毛	毛ＭＯ丿
贝	贝ＢＩ丨
冒	<冒上>目ＭＯ
叔	<卓上>小又Ｓ
碎	石亠十Ｓ
轰	车又又Ｈ
扑	扌卜ＰＵ
奋	大田ＦＮ
饭	饣又Ｆ
科	禾斗ＫＥ
惨	忄厶彡Ｃ
咱	口自ＺＮ
治	氵厶口Ｚ
湖	氵古月Ｈ
环	王不ＨＮ
尘	小土ＣＮ
略	田各ＬＥ
躲	身几木Ｄ
免	口<见下>Ｍ
盟	日月皿Ｍ
珠	王朱ＺＵ
迎	<卬左>卩辶Ｙ
凭	亻壬几Ｐ
规	夫见ＧＩ
犹	犭尢丶Ｙ
雄	厶隹Ｘ
距	匚<右框>Ｊ
伯	亻白ＢＯ
借	亻日Ｊ
域	土戈口Ｙ
床	广木ＣＧ
骂	吅马ＭＡ
莉	艹禾刂Ｌ
朱	朱ＺＵ丿
史	口乂ＳＩ
避	尸辛辶Ｂ
聚	耳又乑Ｊ
皱	彐皮Ｚ
秀	禾乃ＸＵ
韩	十十<韦下>Ｈ
挑	扌<兆左><兆右>Ｔ
降	阝夂<舛右>Ｊ
敬	艹口攵Ｊ
源	氵厂小Ｙ
徒	彳走ＴＵ
束	木口ＳＵ
鲜	鱼羊ＸＮ
撞	扌立里Ｚ
岁	山夕ＳＩ
架	加木ＪＡ
嘛	口广林Ｍ
哭	吅大丶Ｋ
袭	龙亠<衣下>Ｘ
惑	戈口心Ｈ
罪	罒非ＺＩ
节	艹<节下>ＪＥ
罢	罒土厶Ｂ
食	食ＳＩ丿
啦	口扌立Ｌ
唯	口隹ＷＩ
买	乛头ＭＩ
训	讠川ＸＮ
腿	月艮辶Ｔ
稍	禾冃Ｓ
校	木亠父Ｘ
艾	艹乂ＡＩ
诺	讠艹口Ｎ
某	廿一木Ｍ
邪	一<牙下>阝Ｘ
鲁	鱼日ＬＵ
姑	女古ＧＵ
阻	阝且ＺＵ
丁	丁ＤＧ一
塔	土艹口Ｔ
闭	门才ＢＩ
迅	乙十辶Ｘ
逸	兔辶ＹＩ
臣	匚丨<右框>Ｃ
残	歹一戈Ｃ
裂	歹刂<衣下>Ｌ
托	扌丿七Ｔ
良	丶艮ＬＧ
泪	氵目ＬＩ
尖	小大ＪＮ
晓	日<尧上>儿Ｘ
伊	亻<秉中>丿Ｙ
洋	氵羊ＹＧ
屋	尸至ＷＵ
尚	冂口Ｓ
颗	日木页Ｋ
鱼	鱼ＹＵ丿
炸	火乍ＺＡ
仇	亻九ＣＵ
讲	讠井ＪＧ
焰	火臼Ｙ
配	酉己ＰＩ
旧	丨日ＪＵ
绿	纟<录上>水Ｌ
假	亻<右框>又Ｊ
圆	囗口贝Ｙ
验	马亼<应下>Ｙ
番	丿米田Ｆ
搞	扌<高外>口Ｇ
迹	亠<赤下>辶Ｊ
荡	<艹氵><乃上><两撇>Ｄ
彩	爫木彡Ｃ
腾	月马Ｔ
恢	忄火Ｈ
腰	月覀女Ｙ
厅	厂丁ＴＧ
牛	牛ＮＵ丿
吼	口子乚Ｈ
占	占ＺＮ丨
颤	亠一页Ｃ
趣	走耳又Ｑ
梅	木母Ｍ
